date,nav,scheme_code,scheme_name,fund_house
02-12-2024,61.46000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
29-11-2024,61.02000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
28-11-2024,60.55000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
27-11-2024,61.31000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
26-11-2024,61.04000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
25-11-2024,61.04000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
22-11-2024,60.33000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
21-11-2024,59.11000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
19-11-2024,59.39000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
18-11-2024,59.18000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
14-11-2024,59.35000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
13-11-2024,59.29000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
12-11-2024,60.17000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
11-11-2024,60.84000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
08-11-2024,60.72000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
07-11-2024,60.91000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
06-11-2024,61.54000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
05-11-2024,60.67000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
04-11-2024,60.24000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
31-10-2024,60.54000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
30-10-2024,60.82000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
29-10-2024,61.12000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
28-10-2024,60.67000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
25-10-2024,60.59000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
24-10-2024,60.97000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
23-10-2024,61.07000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
22-10-2024,61.11000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
21-10-2024,61.89000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
18-10-2024,62.15000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
17-10-2024,62.02000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
16-10-2024,62.72000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
15-10-2024,62.95000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
14-10-2024,62.98000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
11-10-2024,62.70000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
10-10-2024,62.69000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
09-10-2024,62.73000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
08-10-2024,62.50000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
07-10-2024,61.74000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
04-10-2024,62.38000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
03-10-2024,62.91000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
01-10-2024,64.19000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
30-09-2024,64.18000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
27-09-2024,65.09000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
26-09-2024,65.27000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
25-09-2024,64.85000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
24-09-2024,64.85000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
23-09-2024,64.93000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
20-09-2024,64.40000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
19-09-2024,63.38000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
18-09-2024,63.27000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
17-09-2024,63.37000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
16-09-2024,63.23000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
13-09-2024,63.14000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
12-09-2024,63.31000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
11-09-2024,62.17000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
10-09-2024,62.30000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
09-09-2024,62.01000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
06-09-2024,61.85000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
05-09-2024,62.57000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
04-09-2024,62.57000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
03-09-2024,62.72000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
02-09-2024,62.70000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
30-08-2024,62.67000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
29-08-2024,62.40000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
28-08-2024,62.25000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
27-08-2024,62.13000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
26-08-2024,61.98000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
23-08-2024,61.54000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
22-08-2024,61.42000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
21-08-2024,61.25000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
20-08-2024,61.14000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
19-08-2024,60.78000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
16-08-2024,60.86000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
14-08-2024,59.89000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
13-08-2024,59.75000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
12-08-2024,60.23000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
09-08-2024,60.36000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
08-08-2024,59.76000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
07-08-2024,60.10000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
06-08-2024,59.20000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
05-08-2024,59.44000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
